Região,Local,Gênero,"De que cor, ou raça, você se considera?",Idade,Naturalidade,Última cidade,Tempo na Cidade,Tempo de Rua,Escolaridade,Categorização,Caracterização,Tipo de Substância,Documentação,Tem Cadastro Único,Benefício Sócio-assistencial,Benefícios Previdenciários
Norte,,Masculino,Branca,40 à 49 anos,Outro Estado,Estado de São Paulo,3 à 6 Meses,2 à 5 Anos,Ensino Fundamental Completo,Morador de Mocó,Faz Uso de Substância Psicoativa,"Crack, Tabaco",Sim,Não,,
Norte,,Masculino,Preta,25 à 39 anos,Outro Estado,,5 à 10 Anos,5 à 10 Anos,Ensino Fundamental Incompleto,Morador de Mocó,Faz Uso de Substância Psicoativa,"Crack, Álcool, Tabaco",Sim,Sim,Bolsa Família,
Norte,SAMIM,Masculino,Preta,40 à 49 anos,Outro Estado,Outro Estado,1 dia à 1 Mês,1 à 3 Meses,Ensino Fundamental Incompleto,Itinerante,Suspeita de Transtorno Mental,"Álcool, Cocaína",Sim,,BPC,
Norte,,Masculino,Branca,25 à 39 anos,Estado de São Paulo,São Paulo - Capital,1 dia à 1 Mês,1 à 3 Meses,Ensino Médio Completo,Migrante,Faz Uso de Substância Psicoativa,"Álcool, Maconha, Tabaco",Sim,Não,,
Norte,SAMIM,Masculino,Parda,40 à 49 anos,Estado de São Paulo,São Paulo - Capital,1 dia à 1 Mês,1 à 2 Anos,Ensino Médio Incompleto,Itinerante,NDA,Tabaco,Sim,Não,,
Norte,SAMIM,Masculino,Parda,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,1 dia à 1 Mês,5 à 10 Anos,Ensino Médio Incompleto,Vive na Rua,Faz Uso de Substância Psicoativa,"Crack, Maconha, Cocaína, Tabaco",Sim,Não,,
Norte,SAMIM,Masculino,Preta,18 à 24 anos,Região Metropolitana de Campinas,Região Metropolitana de Campinas,1 dia à 1 Mês,2 à 5 Anos,Ensino Médio Incompleto,Itinerante,Faz Uso de Substância Psicoativa,Maconha,Não,Não,,
Norte,SAMIM,Feminino,Parda,18 à 24 anos,Campinas,Campinas,Mais de 10 Anos,3 à 6 Meses,Ensino Médio Incompleto,Munícipe,Suspeita de Transtorno Mental,,Sim,Sim,Bolsa Família,
Norte,SAMIM,Masculino,Branca,50 à 59 anos,Estado de São Paulo,Região Metropolitana de Campinas,1 dia à 1 Mês,1 à 3 Meses,Ensino Médio Completo,Itinerante,"Suspeita de Transtorno Mental, Faz Uso de Substância Psicoativa","Álcool, Maconha",Sim,Sim,,Aposentadoria
Norte,SAMIM,Masculino,Branca,25 à 39 anos,Outro Estado,Outro Estado,Mais de 10 Anos,5 à 10 Anos,Ensino Fundamental Completo,Migrante,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,Não,,
Norte,SAMIM,Masculino,Branca,25 à 39 anos,Outro Estado,Outro Estado,1 dia à 1 Mês,Mais de 10 Anos,Ensino Fundamental Incompleto,Itinerante,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,Não,,
Norte,SAMIM,Masculino,Parda,50 à 59 anos,Outro Estado,Campinas,Mais de 10 Anos,1 à 3 Meses,Ensino Médio Completo,Munícipe,Suspeita de Transtorno Mental,,Sim,Não,,
Norte,SAMIM,Masculino,Indígena,25 à 39 anos,Outro Estado,Estado de São Paulo,1 dia à 1 Mês,5 à 10 Anos,Ensino Fundamental Incompleto,Itinerante,NDA,Álcool,Sim,Não,,
Leste,,Masculino,Preta,25 à 39 anos,São Paulo - Capital,Campinas,1 à 3 Meses,1 à 3 Meses,Ensino Médio Completo,Morador de Rua,,Álcool,Sim,Sim,Bolsa Família,
Leste,,Masculino,Branca,50 à 59 anos,Outro Estado,Campinas,Mais de 10 Anos,5 à 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,Álcool,Não,Sim,Bolsa Família,
Leste,,Masculino,Preta,25 à 39 anos,,,,,,,Suspeita de Deficiência Intelectual,,,,,
Sul,Casa da Cidadania,Masculino,Parda,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,Mais de 10 Anos,6 Meses à 1 Ano,Ensino Médio Completo,Morador de Rua,NDA,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,Sim,Bolsa Família,
Leste,Rua,,,50 à 59 anos,Estado de São Paulo,São Paulo - Capital,Mais de 10 Anos,Mais de 10 Anos,Ensino Superior Completo,Morador de Rua,"Suspeita de Transtorno Mental, Faz Uso de Substância Psicoativa",Álcool,Não,Sim,BPC,
Leste,,Masculino,Parda,40 à 49 anos,São Paulo - Capital,Estado de São Paulo,Mais de 10 Anos,1 à 2 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,Crack,Não,Não,,
Leste,,Masculino,Preta,40 à 49 anos,São Paulo - Capital,,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,Pessoa Com Deficiência,Álcool,Sim,,,
Leste,,Feminino,Branca,25 à 39 anos,São Paulo - Capital,São Paulo - Capital,5 à 10 Anos,5 à 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Maconha, Tabaco",Sim,Sim,Bolsa Família,
Sul,Casa da Cidadania,Masculino,Preta,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Médio Completo,Morador de Rua,NDA,"Crack, Álcool, Maconha, Cocaína",Sim,Sim,Bolsa Família,
Leste,,Masculino,Branca,18 à 24 anos,Campinas,,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,,Faz Uso de Substância Psicoativa,"Maconha, Tabaco",Sim,Não,,
Leste,,Feminino,Preta,25 à 39 anos,Outro Estado,,,,,,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Cocaína, Tabaco",,,,
Sul,Casa da Cidadania,Masculino,Preta,18 à 24 anos,Campinas,Campinas,Mais de 10 Anos,5 à 10 Anos,Ensino Médio Completo,Morador de Rua,"Suspeita de Deficiência Intelectual, Faz Uso de Substância Psicoativa","Álcool, Cocaína",Sim,Sim,Bolsa Família,
Leste,,Masculino,Branca,50 à 59 anos,Região Metropolitana de Campinas,Região Metropolitana de Campinas,1 dia à 1 Mês,1 à 2 Anos,Ensino Fundamental Completo,Itinerante,Faz Uso de Substância Psicoativa,"Álcool, Tabaco",Sim,Sim,Bolsa Família,
Sul,Casa da Cidadania,Masculino,Preta,40 à 49 anos,Outro Estado,Estado de São Paulo,Mais de 10 Anos,1 à 2 Anos,Ensino Superior Completo,Morador de Rua,NDA,"Álcool, Maconha",Sim,Não,,
Leste,,Masculino,Preta,25 à 39 anos,São Paulo - Capital,Estado de São Paulo,1 à 3 Meses,5 à 10 Anos,Ensino Fundamental Completo,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool, Cocaína, Tabaco",Sim,Sim,Bolsa Família,
Leste,,Masculino,Preta,,,,,,,,Suspeita de Transtorno Mental,,,,,
Sul,Casa da Cidadania,Masculino,Branca,25 à 39 anos,Outro Estado,Estado de São Paulo,1 dia à 1 Mês,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,NDA,"Álcool, Maconha",,Não,,
Sul,Casa da Cidadania,Feminino,Branca,40 à 49 anos,São Paulo - Capital,São Paulo - Capital,1 dia à 1 Mês,5 à 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,NDA,Tabaco,,Sim,Bolsa Família,
Sul,Casa da Cidadania,Masculino,Preta,Acima de 60 anos,São Paulo - Capital,São Paulo - Capital,,Mais de 10 Anos,Ensino Fundamental Completo,Morador de Rua,Pessoa Com Deficiência,,Sim,Não,,Auxílio-Doença
Sul,Casa da Cidadania,Masculino,Parda,40 à 49 anos,Campinas,Região Metropolitana de Campinas,Mais de 10 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Tabaco",Sim,Não,,
Sul,Casa da Cidadania,Masculino,Parda,25 à 39 anos,Estado de São Paulo,Região Metropolitana de Campinas,2 à 5 Anos,1 à 2 Anos,Ensino Fundamental Completo,Morador de Rua,Faz Uso de Substância Psicoativa,"Maconha, Cocaína, Tabaco",Sim,Sim,Bolsa Família,
Sul,Casa da Cidadania,Masculino,Branca,25 à 39 anos,Estado de São Paulo,Outro Estado,2 à 5 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Maconha",Sim,Sim,Bolsa Família,
Sul,Casa da Cidadania,Masculino,Parda,25 à 39 anos,São Paulo - Capital,Estado de São Paulo,1 dia à 1 Mês,6 Meses à 1 Ano,Ensino Superior Completo,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Cocaína",Sim,Não,,
Sul,Casa da Cidadania,Feminino,Parda,40 à 49 anos,Outro Estado,Região Metropolitana de Campinas,1 à 2 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,NDA,Tabaco,Sim,Sim,Bolsa Família,
Sul,Casa da Cidadania,Masculino,S.I.,40 à 49 anos,Campinas,Estado de São Paulo,Mais de 10 Anos,2 à 5 Anos,Ensino Médio Incompleto,Morador de Rua,,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,Não,,
Sul,Casa da Cidadania,Masculino,Preta,25 à 39 anos,Estado de São Paulo,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,Não,,
Sul,Casa da Cidadania,Masculino,Branca,50 à 59 anos,Outro Estado,Região Metropolitana de Campinas,1 à 2 Anos,1 à 2 Anos,Ensino Médio Completo,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Tabaco",Sim,Não,,
Sul,Casa da Cidadania,Masculino,Parda,40 à 49 anos,Outro Estado,Estado de São Paulo,1 à 3 Meses,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Maconha, Cocaína, Tabaco",Sim,Não,,
Sul,Casa da Cidadania,Masculino,Parda,25 à 39 anos,Outro Estado,Outro Estado,6 Meses à 1 Ano,1 à 2 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Cocaína, Tabaco",Sim,Sim,Bolsa Família,
Norte,SAMIM,Feminino,Parda,40 à 49 anos,Outro Estado,Estado de São Paulo,1 dia à 1 Mês,3 à 6 Meses,Ensino Fundamental Incompleto,Morador de Rua,NDA,Tabaco,Não,Não,,
Norte,SAMIM,Masculino,Preta,50 à 59 anos,Outro Estado,Outro Estado,Mais de 10 Anos,1 à 3 Meses,Ensino Médio Completo,Munícipe,Faz Uso de Substância Psicoativa,Álcool,Sim,Não,,
,SAMIM,Masculino,Parda,50 à 59 anos,Estado de São Paulo,Campinas,2 à 5 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Morador de Rua,NDA,,Sim,Não,,
Norte,SAMIM,Masculino,Parda,40 à 49 anos,Região Metropolitana de Campinas,Campinas,2 à 5 Anos,1 à 2 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Cocaína",Sim,Não,,
Norte,SAMIM,Feminino,Parda,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,1 à 3 Meses,Ensino Fundamental Incompleto,Munícipe,NDA,,Sim,Sim,"Bolsa Família, Cartão Nutrir",
Norte,SAMIM,Masculino,Parda,Acima de 60 anos,Outro Estado,Estado de São Paulo,1 à 2 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Itinerante,NDA,,Sim,Sim,Bolsa Família,
Norte,SAMIM,Masculino,Branca,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,5 à 10 Anos,Ensino Fundamental Incompleto,Munícipe,Faz Uso de Substância Psicoativa,"Cocaína, Tabaco",Sim,Sim,Bolsa Família,
,SAMIM,Masculino,Preta,25 à 39 anos,Estado de São Paulo,Região Metropolitana de Campinas,1 dia à 1 Mês,1 dia à 1 Mês,Ensino Fundamental Completo,Itinerante,Faz Uso de Substância Psicoativa,"Álcool, Maconha, Cocaína, Tabaco",,Não,,
Norte,SAMIM,Feminino,Preta,40 à 49 anos,Outro Estado,Outro Estado,1 à 3 Meses,1 à 3 Meses,Ensino Fundamental Incompleto,Migrante,NDA,,Sim,Sim,Bolsa Família,
Norte,SAMIM,LGBT (Queer),Branca,50 à 59 anos,São Paulo - Capital,São Paulo - Capital,Mais de 10 Anos,6 Meses à 1 Ano,Ensino Fundamental Completo,Itinerante,Faz Uso de Substância Psicoativa,"Álcool, Tabaco",Sim,Sim,Bolsa Família,
Norte,SAMIM,Masculino,Parda,Acima de 60 anos,Outro Estado,São Paulo - Capital,1 à 3 Meses,1 à 3 Meses,Ensino Fundamental Completo,Migrante,NDA,,Sim,Não,,Auxílio-Doença
Norte,SAMIM,Feminino,Preta,40 à 49 anos,Campinas,Campinas,Mais de 10 Anos,1 à 3 Meses,Ensino Superior Completo,Pensão,Pessoa Com Deficiência,,Sim,Sim,,
Norte,SAMIM,Masculino,Parda,40 à 49 anos,Estado de São Paulo,Região Metropolitana de Campinas,1 à 2 Anos,5 à 10 Anos,Ensino Fundamental Completo,Migrante,NDA,Álcool,Sim,Sim,Bolsa Família,
Leste,,LGBT (Queer),Preta,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Maconha, Cocaína",Sim,Sim,Bolsa Família,
,,Masculino,S.I.,50 à 59 anos,Região Metropolitana de Campinas,Região Metropolitana de Campinas,1 dia à 1 Mês,1 dia à 1 Mês,,,,Álcool,Sim,Sim,Bolsa Família,
Leste,,LGBT (Queer),Parda,25 à 39 anos,Campinas,Região Metropolitana de Campinas,Mais de 10 Anos,1 à 3 Meses,Ensino Médio Completo,Itinerante,,,Sim,Sim,Bolsa Família,
Leste,,Masculino,Parda,25 à 39 anos,Outro Estado,Estado de São Paulo,5 à 10 Anos,2 à 5 Anos,Ensino Médio Completo,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Maconha",Não,Sim,,
Leste,,Feminino,Branca,50 à 59 anos,Outro Estado,Outro Estado,1 dia à 1 Mês,1 dia à 1 Mês,Ensino Médio Completo,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool, Tabaco",Sim,Sim,Bolsa Família,
Leste,,Masculino,Branca,40 à 49 anos,Campinas,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Superior Incompleto,Morador de Mocó,,Tudo,Sim,Sim,Bolsa Família,
Centro,Rua,Masculino,Parda,40 à 49 anos,Região Metropolitana de Campinas,Campinas,5 à 10 Anos,1 à 2 Anos,Ensino Fundamental Completo,Morador de Rua,,"Crack, Maconha",Sim,Não,,
,Rua,Masculino,Parda,50 à 59 anos,Estado de São Paulo,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,Suspeita de Transtorno Mental,"Álcool, Tabaco",Sim,Sim,Bolsa Família,
Leste,,Masculino,Parda,50 à 59 anos,Outro Estado,Estado de São Paulo,Mais de 10 Anos,5 à 10 Anos,Ensino Superior Incompleto,Morador de Mocó,,Não faz,Sim,Sim,Bolsa Família,
,,Masculino,,40 à 49 anos,Outro Estado,Estado de São Paulo,2 à 5 Anos,2 à 5 Anos,Ensino Superior Incompleto,Morador de Rua,,Não,Sim,Sim,Bolsa Família,
,Rua,Masculino,Branca,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,2 à 5 Anos,Ensino Médio Incompleto,Vive na Rua,Faz Uso de Substância Psicoativa,"Álcool, Maconha",Sim,Sim,Bolsa Família,
,,Masculino,Branca,40 à 49 anos,,Estado de São Paulo,3 à 6 Meses,6 Meses à 1 Ano,Ensino Superior Incompleto,Morador de Rua,NDA,Tabaco,Sim,Sim,Bolsa Família,
,,Masculino,Branca,50 à 59 anos,Estado de São Paulo,,,,Ensino Superior Completo,,Faz Uso de Substância Psicoativa,Crack,Sim,Sim,Bolsa Família,
Norte,,Masculino,Branca,50 à 59 anos,,,,2 à 5 Anos,Ensino Fundamental Completo,Morador de Rua,Faz Uso de Substância Psicoativa,Álcool,Sim,Sim,Bolsa Família,
,Rua,Masculino,Parda,40 à 49 anos,,,,,,Morador de Rua,,,,,,
Sul,Rua,Feminino,Parda,40 à 49 anos,Outro Estado,Região Metropolitana de Campinas,Mais de 10 Anos,1 dia à 1 Mês,Ensino Fundamental Incompleto,Vive na Rua,NDA,"Álcool, Tabaco",,Sim,Bolsa Família,
Leste,,Masculino,Branca,40 à 49 anos,Campinas,Outro Estado,Mais de 10 Anos,2 à 5 Anos,Ensino Fundamental Completo,Morador de Rua,Faz Uso de Substância Psicoativa,Crack,Sim,Sim,Bolsa Família,
,Rua,Masculino,,40 à 49 anos,,,,,,,,,,,,
Leste,Rua,Feminino,,40 à 49 anos,Outro Estado,Outro Estado,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Ex Morador de Rua,Suspeita de Transtorno Mental,,,,,
,Rua,Masculino,Parda,40 à 49 anos,Outro Estado,Outro Estado,Mais de 10 Anos,Mais de 10 Anos,Ensino Médio Completo,Morador de Mocó,,,Sim,Não,,Pensões
Leste,Rua,Masculino,Preta,40 à 49 anos,Estado de São Paulo,Campinas,1 à 2 Anos,1 dia à 1 Mês,Ensino Fundamental Completo,Munícipe,Faz Uso de Substância Psicoativa,Cocaína,Sim,Sim,Bolsa Família,
,Rua,Masculino,Preta,50 à 59 anos,São Paulo - Capital,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Mocó,,,Sim,Sim,Bolsa Família,
Sul,Rua,Masculino,Parda,25 à 39 anos,Campinas,,,,Ensino Médio Incompleto,Munícipe,,"Crack, Álcool, Cocaína, Tabaco",Sim,,Bolsa Família,
,Rua,Feminino,Branca,50 à 59 anos,Campinas,Estado de São Paulo,1 à 3 Meses,6 Meses à 1 Ano,Alfabetizado,Morador de Rua,,,Sim,Não,,
,Rua,Masculino,Preta,50 à 59 anos,,,,,,,,,,,,
,Rua,,,,,,,,,,,,,,,
,Rua,Masculino,Parda,50 à 59 anos,Outro Estado,Campinas,Mais de 10 Anos,1 à 3 Meses,Alfabetizado,Morador de Mocó,,,Não,Sim,Bolsa Família,
,Rua,Masculino,Amarela,50 à 59 anos,,,,,,,,,,,,
Norte,SAMIM,Masculino,Branca,25 à 39 anos,,Estado de São Paulo,1 dia à 1 Mês,1 dia à 1 Mês,Ensino Fundamental Incompleto,Abrigado,NDA,"Crack, Álcool, Maconha, Cocaína, Tabaco",Não,Não,,
Norte,SAMIM,Masculino,Branca,25 à 39 anos,Estado de São Paulo,São Paulo - Capital,1 dia à 1 Mês,1 à 3 Meses,Ensino Superior Incompleto,egresso,Faz Uso de Substância Psicoativa,"Álcool, Tabaco",Sim,Sim,Bolsa Família,
Noroeste,Rua,Masculino,Preta,25 à 39 anos,Campinas,Região Metropolitana de Campinas,Mais de 10 Anos,1 dia à 1 Mês,Ensino Médio Completo,Vive na Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,Não,,
Norte,SAMIM,Masculino,Branca,25 à 39 anos,Estado de São Paulo,São Paulo - Capital,1 dia à 1 Mês,1 dia à 1 Mês,Ensino Fundamental Incompleto,Família,Faz Uso de Substância Psicoativa,Álcool,Sim,Sim,Bolsa Família,
,Rua,,Preta,40 à 49 anos,Campinas,Campinas,,3 à 6 Meses,Ensino Fundamental Incompleto,Morador de Rua,,"Crack, Álcool, Maconha, Tabaco",Sim,Sim,Bolsa Família,
Norte,SAMIM,Feminino,Preta,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,1 dia à 1 Mês,1 dia à 1 Mês,Ensino Fundamental Completo,egresso,NDA,,Não,Não,,
Norte,SAMIM,Masculino,Branca,40 à 49 anos,Outro Estado,Estado de São Paulo,Mais de 10 Anos,6 Meses à 1 Ano,Ensino Fundamental Incompleto,Família,Pessoa Com Deficiência,,Sim,Sim,Bolsa Família,
,Rua,Masculino,,40 à 49 anos,Campinas,,,,Ensino Fundamental Incompleto,Morador de Rua,,,,,,
Norte,SAMIM,Masculino,Parda,50 à 59 anos,Outro Estado,São Paulo - Capital,Mais de 10 Anos,1 dia à 1 Mês,Ensino Fundamental Incompleto,Abrigado,Faz Uso de Substância Psicoativa,"Álcool, Tabaco",Sim,Não,,
,Rua,Masculino,,40 à 49 anos,Outro Estado,Outro Estado,2 à 5 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Morador de Rua,,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,Não,,
Norte,SAMIM,Masculino,Branca,25 à 39 anos,Estado de São Paulo,São Paulo - Capital,1 dia à 1 Mês,1 dia à 1 Mês,Ensino Médio Completo,Abrigado,Faz Uso de Substância Psicoativa,"Álcool, Tabaco",Sim,Não,,
,Rua,Masculino,Parda,40 à 49 anos,Região Metropolitana de Campinas,Região Metropolitana de Campinas,,,,Morador de Rua,Suspeita de Transtorno Mental,Álcool,,,,
Norte,SAMIM,Masculino,Preta,40 à 49 anos,Outro Estado,Região Metropolitana de Campinas,3 à 6 Meses,1 dia à 1 Mês,Ensino Fundamental Incompleto,família,Pessoa Com Deficiência,,Não,,,
,Rua,LGBT (Queer),Parda,25 à 39 anos,Outro Estado,São Paulo - Capital,5 à 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,,"Álcool, Maconha",Sim,Sim,Bolsa Família,
Norte,SAMIM,Masculino,Branca,Acima de 60 anos,Campinas,Campinas,Mais de 10 Anos,1 à 3 Meses,Ensino Fundamental Incompleto,Munícipe,NDA,,Sim,Sim,Bolsa Família,
Leste,,Masculino,Preta,50 à 59 anos,São Paulo - Capital,Região Metropolitana de Campinas,1 dia à 1 Mês,Mais de 10 Anos,Alfabetizado,Morador de Rua,Suspeita de Transtorno Mental,Álcool,Sim,Sim,Bolsa Família,
Leste,Rua,Masculino,Parda,25 à 39 anos,Outro Estado,Região Metropolitana de Campinas,1 dia à 1 Mês,1 dia à 1 Mês,Alfabetizado,Itinerante,,Tabaco,Sim,Não,,
Leste,,Masculino,Preta,40 à 49 anos,Outro Estado,,5 à 10 Anos,2 à 5 Anos,Ensino Superior Incompleto,Vive na Rua,,Álcool,Sim,Sim,Bolsa Família,
Leste,,Masculino,Parda,25 à 39 anos,Outro Estado,Região Metropolitana de Campinas,5 à 10 Anos,Mais de 10 Anos,Não Alfabetizado,Morador de Rua,,Maconha,Não,Não,,
Leste,,Masculino,,40 à 49 anos,Campinas,Campinas,2 à 5 Anos,5 à 10 Anos,Alfabetizado,Morador de Rua,,Álcool,Sim,,,
Leste,,Masculino,Preta,18 à 24 anos,Campinas,Campinas,Mais de 10 Anos,5 à 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,,"Maconha, Cocaína",Não,Sim,Bolsa Família,
Leste,,Masculino,Parda,25 à 39 anos,Estado de São Paulo,Região Metropolitana de Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,,"Crack, Álcool, Cocaína",Sim,Não,,
Leste,,LGBT (Queer),Preta,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,5 à 10 Anos,5 à 10 Anos,Ensino Superior Completo,Morador de Rua,,Álcool,Sim,Não,,
Norte,,Feminino,Preta,40 à 49 anos,Outro Estado,Região Metropolitana de Campinas,1 dia à 1 Mês,Mais de 10 Anos,Ensino Fundamental Incompleto,Itinerante,,Álcool,Não,Sim,,
Norte,,Masculino,Parda,40 à 49 anos,Estado de São Paulo,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Médio Completo,Morador de Rua,,"Crack, Maconha, Cocaína, Tabaco",Sim,Não,,
Norte,,Masculino,Parda,40 à 49 anos,Estado de São Paulo,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,,Álcool,Não,Sim,,
Leste,,,,,,,,,,,Suspeita de Transtorno Mental,,,,,
Leste,,Feminino,Parda,25 à 39 anos,Outro Estado,Campinas,1 à 3 Meses,1 à 3 Meses,Ensino Médio Incompleto,Morador de Rua,NDA,,Não,Não,,
Leste,,Masculino,Branca,Acima de 60 anos,,Outro Estado,Mais de 10 Anos,6 Meses à 1 Ano,,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Tabaco",Sim,,,
,,Masculino,Branca,50 à 59 anos,Outro Estado,Outro Estado,2 à 5 Anos,Mais de 10 Anos,Ensino Médio Completo,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Maconha",Sim,,Bolsa Família,
,,Masculino,Preta,18 à 24 anos,Campinas,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,NDA,"Crack, Álcool, Maconha, Cocaína",Não,Não,,
,,Masculino,Branca,25 à 39 anos,,Região Metropolitana de Campinas,5 à 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,NDA,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,Sim,Bolsa Família,
,,Masculino,Branca,25 à 39 anos,,Região Metropolitana de Campinas,5 à 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,NDA,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,Sim,Bolsa Família,
,,Feminino,Preta,50 à 59 anos,Campinas,Campinas,3 à 6 Meses,3 à 6 Meses,Ensino Fundamental Incompleto,Morador de Rua,"Suspeita de Deficiência Intelectual, NDA",,Sim,Não,,Auxílio-Doença
,,Masculino,,40 à 49 anos,,,,,,,Faz Uso de Substância Psicoativa,Maconha,,,,
,,Masculino,Parda,40 à 49 anos,Outro Estado,Estado de São Paulo,2 à 5 Anos,Mais de 10 Anos,Ensino Médio Incompleto,Morador de Rua,,Álcool,Sim,Não,,
,,Masculino,Branca,25 à 39 anos,Outro Estado,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,NDA,,Sim,Não,,
,Rua,LGBT (Queer),Parda,18 à 24 anos,Campinas,Campinas,,1 dia à 1 Mês,Ensino Fundamental Incompleto,,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,Não,,
Leste,,LGBT (Queer),,25 à 39 anos,Campinas,Campinas,,2 à 5 Anos,Ensino Superior Completo,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool",Sim,Não,,
Sul,,Masculino,Preta,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,Crack,Não,Não,,
Norte,,Feminino,Preta,25 à 39 anos,,Campinas,5 à 10 Anos,5 à 10 Anos,Ensino Fundamental Incompleto,Morador de Mocó,Faz Uso de Substância Psicoativa,Crack,Sim,Não,,
,,Masculino,,50 à 59 anos,Estado de São Paulo,Estado de São Paulo,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Mocó,Faz Uso de Substância Psicoativa,"Álcool, Tabaco",Sim,Não,,
Norte,,Feminino,Preta,25 à 39 anos,,,,,,Morador de Mocó,Faz Uso de Substância Psicoativa,Crack,,,,
,,Masculino,Parda,40 à 49 anos,São Paulo - Capital,São Paulo - Capital,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool, Tabaco",Sim,,Bolsa Família,
